Continent,Country,City,Arrivals_2019,Arrivals_2022,Arrivals_2023,ISO,Is_Continent,pct_growth
Europe,France,France_City13,61.3,62.7,74.5,FRA,False,21.5
Europe,Spain,Spain_City8,45.2,41.7,43.5,SPA,False,-3.8
Europe,Italy,Italy_City7,10.4,7.7,10.3,ITA,False,-1.0
Europe,Germany,Germany_City8,55.2,48.8,69.3,GER,False,25.5
Europe,UK,UK_City14,37.1,34.3,34.2,UK,False,-7.8
Asia,India,India_City6,78.9,81.7,101.6,IND,False,28.8
Asia,Japan,Japan_City18,48.8,48.3,37.6,JAP,False,-23.0
Asia,China,China_City1,60.3,52.4,69.7,CHI,False,15.6
Asia,Thailand,Thailand_City11,44.4,32.5,51.7,THA,False,16.4
Asia,Singapore,Singapore_City3,17.8,13.6,14.1,SIN,False,-20.8
Africa,Kenya,Kenya_City9,63.6,68.2,70.5,KEN,False,10.8
Africa,Morocco,Morocco_City2,71.3,44.9,78.4,MOR,False,10.0
Africa,Egypt,Egypt_City12,25.0,16.6,22.2,EGY,False,-11.2
Africa,Nigeria,Nigeria_City13,59.2,48.5,76.5,NIG,False,29.2
Africa,South Africa,South Africa_City5,67.0,61.5,86.9,SOU,False,29.7
Americas,USA,USA_City9,44.4,37.2,47.7,USA,False,7.4
Americas,Canada,Canada_City16,15.5,14.4,12.1,CAN,False,-21.9
Americas,Brazil,Brazil_City10,95.2,88.7,67.4,BRA,False,-29.2
Americas,Mexico,Mexico_City18,84.6,54.8,108.8,MEX,False,28.6
Americas,Argentina,Argentina_City3,53.4,33.5,51.8,ARG,False,-3.0
Oceania,Australia,Australia_City1,47.0,51.2,43.0,AUS,False,-8.5
Oceania,New Zealand,New Zealand_City3,70.4,73.2,88.1,NEW,False,25.1
Oceania,Fiji,Fiji_City4,70.8,62.5,60.8,FIJ,False,-14.1
Oceania,PNG,PNG_City15,13.9,12.3,17.5,PNG,False,25.9
Oceania,Samoa,Samoa_City12,5.9,6.0,6.4,SAM,False,8.5
Middle East,Saudi Arabia,Saudi Arabia_City1,30.1,24.0,31.1,SAU,False,3.3
Middle East,UAE,UAE_City9,40.1,27.0,41.8,UAE,False,4.2
Middle East,Qatar,Qatar_City3,32.4,26.5,37.4,QAT,False,15.4
Middle East,Oman,Oman_City9,90.1,82.8,111.3,OMA,False,23.5
Middle East,Kuwait,Kuwait_City15,47.7,52.0,36.7,KUW,False,-23.1
Europe,France,France_City14,44.1,41.4,37.5,FRA,False,-15.0
Europe,Spain,Spain_City15,70.8,68.2,70.9,SPA,False,0.1
Europe,Italy,Italy_City2,42.5,38.6,41.9,ITA,False,-1.4
Europe,Germany,Germany_City7,33.6,31.3,29.4,GER,False,-12.5
Europe,UK,UK_City16,76.2,79.2,58.0,UK,False,-23.9
Asia,India,India_City7,59.1,52.9,61.7,IND,False,4.4
Asia,Japan,Japan_City13,97.1,73.8,80.9,JAP,False,-16.7
Asia,China,China_City4,39.9,32.6,49.3,CHI,False,23.6
Asia,Thailand,Thailand_City6,71.9,46.7,90.0,THA,False,25.2
Asia,Singapore,Singapore_City11,49.6,50.6,61.6,SIN,False,24.2
Africa,Kenya,Kenya_City9,20.4,18.5,15.8,KEN,False,-22.5
Africa,Morocco,Morocco_City15,81.7,72.3,77.2,MOR,False,-5.5
Africa,Egypt,Egypt_City10,98.3,77.3,93.6,EGY,False,-4.8
Africa,Nigeria,Nigeria_City19,87.3,95.0,105.9,NIG,False,21.3
Africa,South Africa,South Africa_City14,77.7,83.3,89.4,SOU,False,15.1
Americas,USA,USA_City3,54.5,34.2,44.7,USA,False,-18.0
Americas,Canada,Canada_City5,21.2,17.6,26.0,CAN,False,22.6
