Continent,Country,City,Arrivals_2019,Arrivals_2022,Arrivals_2023,ISO
Europe,France,France_City13,61.3,62.7,74.5,FRA
Europe,Spain,Spain_City8,45.2,41.7,43.5,SPA
Europe,Italy,Italy_City7,10.4,7.7,10.3,ITA
Europe,Germany,Germany_City8,55.2,48.8,69.3,GER
Europe,UK,UK_City14,37.1,34.3,34.2,UK
Asia,India,India_City6,78.9,81.7,101.6,IND
Asia,Japan,Japan_City18,48.8,48.3,37.6,JAP
Asia,China,China_City1,60.3,52.4,69.7,CHI
Asia,Thailand,Thailand_City11,44.4,32.5,51.7,THA
Asia,Singapore,Singapore_City3,17.8,13.6,14.1,SIN
Africa,Kenya,Kenya_City9,63.6,68.2,70.5,KEN
Africa,Morocco,Morocco_City2,71.3,44.9,78.4,MOR
Africa,Egypt,Egypt_City12,25.0,16.6,22.2,EGY
Africa,Nigeria,Nigeria_City13,59.2,48.5,76.5,NIG
Africa,South Africa,South Africa_City5,67.0,61.5,86.9,SOU
Americas,USA,USA_City9,44.4,37.2,47.7,USA
Americas,Canada,Canada_City16,15.5,14.4,12.1,CAN
Americas,Brazil,Brazil_City10,95.2,88.7,67.4,BRA
Americas,Mexico,Mexico_City18,84.6,54.8,108.8,MEX
Americas,Argentina,Argentina_City3,53.4,33.5,51.8,ARG
Oceania,Australia,Australia_City1,47.0,51.2,43.0,AUS
Oceania,New Zealand,New Zealand_City3,70.4,73.2,88.1,NEW
Oceania,Fiji,Fiji_City4,70.8,62.5,60.8,FIJ
Oceania,PNG,PNG_City15,13.9,12.3,17.5,PNG
Oceania,Samoa,Samoa_City12,5.9,6.0,6.4,SAM
Middle East,Saudi Arabia,Saudi Arabia_City1,30.1,24.0,31.1,SAU
Middle East,UAE,UAE_City9,40.1,27.0,41.8,UAE
Middle East,Qatar,Qatar_City3,32.4,26.5,37.4,QAT
Middle East,Oman,Oman_City9,90.1,82.8,111.3,OMA
Middle East,Kuwait,Kuwait_City15,47.7,52.0,36.7,KUW
Europe,France,France_City14,44.1,41.4,37.5,FRA
Europe,Spain,Spain_City15,70.8,68.2,70.9,SPA
Europe,Italy,Italy_City2,42.5,38.6,41.9,ITA
Europe,Germany,Germany_City7,33.6,31.3,29.4,GER
Europe,UK,UK_City16,76.2,79.2,58.0,UK
Asia,India,India_City7,59.1,52.9,61.7,IND
Asia,Japan,Japan_City13,97.1,73.8,80.9,JAP
Asia,China,China_City4,39.9,32.6,49.3,CHI
Asia,Thailand,Thailand_City6,71.9,46.7,90.0,THA
Asia,Singapore,Singapore_City11,49.6,50.6,61.6,SIN
Africa,Kenya,Kenya_City9,20.4,18.5,15.8,KEN
Africa,Morocco,Morocco_City15,81.7,72.3,77.2,MOR
Africa,Egypt,Egypt_City10,98.3,77.3,93.6,EGY
Africa,Nigeria,Nigeria_City19,87.3,95.0,105.9,NIG
Africa,South Africa,South Africa_City14,77.7,83.3,89.4,SOU
Americas,USA,USA_City3,54.5,34.2,44.7,USA
Americas,Canada,Canada_City5,21.2,17.6,26.0,CAN
Americas,Brazil,Brazil_City17,62.8,56.4,73.5,BRA
Americas,Mexico,Mexico_City4,64.0,56.9,53.9,MEX
Americas,Argentina,Argentina_City4,63.3,54.9,66.7,ARG
Oceania,Australia,Australia_City18,96.6,84.7,79.9,AUS
Oceania,New Zealand,New Zealand_City3,22.7,24.3,26.0,NEW
Oceania,Fiji,Fiji_City3,97.2,91.4,73.0,FIJ
Oceania,PNG,PNG_City18,34.6,32.8,32.1,PNG
Oceania,Samoa,Samoa_City18,56.5,58.0,64.8,SAM
Middle East,Saudi Arabia,Saudi Arabia_City19,48.1,41.8,59.5,SAU
Middle East,UAE,UAE_City10,49.6,41.1,61.7,UAE
Middle East,Qatar,Qatar_City5,7.0,6.9,6.2,QAT
Middle East,Oman,Oman_City9,66.3,50.5,67.1,OMA
Middle East,Kuwait,Kuwait_City1,87.9,64.8,103.6,KUW
Europe,France,France_City18,69.6,57.6,68.9,FRA
Europe,Spain,Spain_City5,95.0,91.7,81.0,SPA
Europe,Italy,Italy_City19,54.2,33.2,44.7,ITA
Europe,Germany,Germany_City9,74.4,68.7,61.7,GER
Europe,UK,UK_City16,60.7,62.6,46.8,UK
Asia,India,India_City11,17.5,16.8,16.4,IND
Asia,Japan,Japan_City10,84.8,59.6,67.8,JAP
Asia,China,China_City12,73.6,45.3,84.5,CHI
Asia,Thailand,Thailand_City2,90.9,58.3,93.7,THA
Asia,Singapore,Singapore_City17,9.3,6.6,8.1,SIN
Africa,Kenya,Kenya_City10,14.5,8.8,18.2,KEN
Africa,Morocco,Morocco_City9,84.1,91.9,94.4,MOR
Africa,Egypt,Egypt_City16,53.7,47.8,63.0,EGY
Africa,Nigeria,Nigeria_City3,96.3,68.9,122.3,NIG
Africa,South Africa,South Africa_City5,80.9,74.0,99.1,SOU
Americas,USA,USA_City2,23.5,23.2,30.2,USA
Americas,Canada,Canada_City8,52.3,48.1,48.2,CAN
Americas,Brazil,Brazil_City5,83.1,57.7,83.7,BRA
Americas,Mexico,Mexico_City11,98.2,78.9,102.3,MEX
Americas,Argentina,Argentina_City16,96.3,101.4,112.1,ARG
Oceania,Australia,Australia_City7,43.7,31.3,34.1,AUS
Oceania,New Zealand,New Zealand_City13,95.5,58.0,97.4,NEW
Oceania,Fiji,Fiji_City4,19.0,12.2,14.3,FIJ
Oceania,PNG,PNG_City8,82.0,66.9,94.4,PNG
Oceania,Samoa,Samoa_City4,86.8,83.6,74.8,SAM
Middle East,Saudi Arabia,Saudi Arabia_City5,61.2,51.3,60.8,SAU
Middle East,UAE,UAE_City6,54.8,45.0,66.4,UAE
Middle East,Qatar,Qatar_City8,83.6,71.5,62.9,QAT
Middle East,Oman,Oman_City8,24.6,25.2,27.3,OMA
Middle East,Kuwait,Kuwait_City10,11.6,7.0,14.3,KUW
Europe,France,France_City12,23.7,19.7,17.2,FRA
Europe,Spain,Spain_City11,51.6,43.1,63.4,SPA
Europe,Italy,Italy_City15,44.4,30.5,43.7,ITA
Europe,Germany,Germany_City19,57.9,39.4,45.5,GER
Europe,UK,UK_City18,31.4,20.9,29.4,UK
Asia,India,India_City5,22.8,24.0,23.4,IND
